unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
46323057.4092917,0.0530700684,-0.6997070312,-0.7327423096,,,,,,,,,,,,,,,,,,,,,,,,
46323116.6802917,,,,,-0.0398185194,0.0223939890,-0.0174767283,,,,,,,,,,,,,,,,,,,,
46323.1164397917,,,,,,,,,,,-97.3729400635,-128.6533660889,230.6795043945,,,,,,,,,,,,,,
46323162.66225,0.0439300537,-0.6774749756,-0.6994628906,,,,,,,,,,,,,,,,,,,,,,,,
46323217.7222083,,,,,-0.0425147036,0.0507835525,-0.0316298316,,,,,,,,,,,,,,,,,,,,
46323.2165257917,,,,,,,,,,,-97.0365905762,-129.9987640381,230.3525238037,,,,,,,,,,,,,,
46323267.9530833,0.0498504639,-0.6883697510,-0.7547760010,,,,,,,,,,,,,,,,,,,,,,,,
1451522717999.89,,,,,,,,,,,,,,52.49310158198,13.3853586483871,197.578125,1.12000000476837,36.7088012695312,10.0,3.0,,,,,,,
46323318.7591667,,,,,0.0078619179,0.0812101680,-0.0484671350,,,,,,,,,,,,,,,,,,,,
46323.317566875,,,,,,,,,,,-97.2047729492,-128.1488494873,229.8620605469,,,,,,,,,,,,,,
46323373.1511667,0.0549316406,-0.6812744141,-0.7179565430,,,,,,,,,,,,,,,,,,,,,,,,
46323419.903375,,,,,-0.0411751336,0.0542773535,-0.0316362232,,,,,,,,,,,,,,,,,,,,
46323.4186105833,,,,,,,,,,,-96.8684234619,-126.8034515381,230.1890411377,,,,,,,,,,,,,,
46323477.7719167,0.0475311279,-0.6827850342,-0.7331542969,,,,,,,,,,,,,,,,,,,,,,,,
46323520.3419167,,,,,0.0004660532,0.1295638523,-0.0200338956,,,,,,,,,,,,,,,,,,,,
46323.5192583333,,,,,,,,,,,-96.0275421143,-126.9716186523,229.0446319580,,,,,,,,,,,,,,
46323581.6855833,0.0569305420,-0.6912078857,-0.7440948486,,,,,,,,,,,,,,,,,,,,,,,,
46323621.3635417,,,,,0.0548659121,0.1820757964,0.0021169468,,,,,,,,,,,,,,,,,,,,
46323.620472125,,,,,,,,,,,-98.2138214111,-128.4851989746,229.2081146240,,,,,,,,,,,,,,
46323686.425125,0.0424041748,-0.6950225830,-0.6891021729,,,,,,,,,,,,,,,,,,,,,,,,
46323721.7418333,,,,,-0.0647520987,0.0821228333,-0.0551181135,,,,,,,,,,,,,,,,,,,,
46323.721574375,,,,,,,,,,,-96.1957244873,-127.8125000000,228.5541687012,,,,,,,,,,,,,,
46323790.7277083,0.0736846924,-0.6759338379,-0.7344818115,,,,,,,,,,,,,,,,,,,,,,,,
