unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
1451922459097.05,,,,,,,,,,,,,,52.3939510317159,13.1324032175431,-1.0,-1.0,33.0,65.0,12.0429630483687,,,,,,,
162060288.756833,0.0108795166,-0.8001556396,-0.8511962891,,,,,,,,,,,,,,,,,,,,,,,,
162060321.350792,,,,,-0.2009837075,-0.0692632273,0.1879222339,,,,,,,,,,,,,,,,,,,,
162060.323098958,,,,,,,,,,,-69.6241760254,-23.2080688477,359.6703796387,,,,,,,,,,,,,,
162060425.964708,,,,,0.1489508661,-0.2136403805,0.2448283938,,,,,,,,,,,,,,,,,,,,
162060433.726833,-0.0804595947,-0.7232360840,-0.6248168945,,,,,,,,,,,,,,,,,,,,,,,,
162060.426031958,,,,,,,,,,,-70.9695739746,-23.8807678223,359.6703796387,,,,,,,,,,,,,,
162060531.131458,,,,,0.1610530690,0.0017060210,0.1833985885,,,,,,,,,,,,,,,,,,,,
162060538.084708,-0.0268096924,-0.7324676514,-0.6330108643,,,,,,,,,,,,,,,,,,,,,,,,
162060.528681125,,,,,,,,,,,-72.1467895508,-24.7216339111,360.1608276367,,,,,,,,,,,,,,
1451923535516.23,,,,,,,,,,,,,,52.3942181152416,13.132532378502,-1.0,-1.0,33.0,904.806274891725,19.5923816744605,,,,,,,
162060635.024375,,,,,-0.0323792452,0.0755799791,0.1586037598,,,,,,,,,,,,,,,,,,,,
162060640.855625,-0.1054992676,-0.6743011475,-0.5464172363,,,,,,,,,,,,,,,,,,,,,,,,
162060.632353667,,,,,,,,,,,-71.3059234619,-24.2171173096,360.9782714844,,,,,,,,,,,,,,
1451923535528.63,,,,,,,,,,,,,,52.3944398222958,13.1326395955071,-1.0,-1.0,33.0,904.806274908943,19.5923816744605,,,,,,,
1451923535726.54,,,,,,,,,,,,,,52.3939570099185,13.1329760610268,-1.0,-1.0,33.0,65.0,10.467512461835,,,,,,,
1451923535769.09,,,,,,,,,,,,,,52.3939570099185,13.1329760610268,-1.0,-1.0,33.0,65.0,10.467512461835,,,,,,,
162060739.657167,,,,,-1.0156430870,0.6663756353,0.1151998266,,,,,,,,,,,,,,,,,,,,
162060744.431375,-0.2123870850,-0.6255035400,-0.5612182617,,,,,,,,,,,,,,,,,,,,,,,,
162060.735940417,,,,,,,,,,,-66.7652130127,-22.7035369873,363.1035766602,,,,,,,,,,,,,,
162060843.9145,,,,,-0.7110474995,-0.2434869595,-0.0052626726,,,,,,,,,,,,,,,,,,,,
162060.839949458,,,,,,,,,,,-64.5789489746,-18.8355255127,363.9210205078,,,,,,,,,,,,,,
162060849.212333,0.0862884521,-0.8847045898,-1.0531921387,,,,,,,,,,,,,,,,,,,,,,,,
162060.943392667,,,,,,,,,,,-65.0834655762,-20.6854553223,364.7384643555,,,,,,,,,,,,,,
162060953.462875,-0.0790100098,-0.6546173096,-0.6703186035,,,,,,,,,,,,,,,,,,,,,,,,
162061.045826,,,,,,,,,,,-67.4379119873,-19.3400573730,361.7957153320,,,,,,,,,,,,,,
162061056.905,-0.0899810791,-0.6994323730,-0.7623443604,,,,,,,,,,,,,,,,,,,,,,,,
162061062.399042,,,,,0.4343687643,-0.2699894071,0.2407090162,,,,,,,,,,,,,,,,,,,,
162061.149078375,,,,,,,,,,,-66.7652130127,-21.6944885254,365.3923950195,,,,,,,,,,,,,,
162061161.800208,-0.1629486084,-0.6869049072,-0.4771118164,,,,,,,,,,,,,,,,,,,,,,,,
162061167.059833,,,,,0.0440042096,-0.2073199003,0.2891966575,,,,,,,,,,,,,,,,,,,,
162061.2531245,,,,,,,,,,,-68.4469604492,-21.6944885254,365.3923950195,,,,,,,,,,,,,,
162061266.374542,-0.1777038574,-0.7247619629,-0.7328033447,,,,,,,,,,,,,,,,,,,,,,,,
162061272.283625,,,,,-0.3128370059,-0.0062600265,-0.0382922617,,,,,,,,,,,,,,,,,,,,
162061.357289958,,,,,,,,,,,-68.7833099365,-21.0218048096,363.7575378418,,,,,,,,,,,,,,
162061371.615125,-0.1345977783,-0.6505889893,-0.7684326172,,,,,,,,,,,,,,,,,,,,,,,,
162061376.009208,,,,,0.2231625130,0.3180852974,0.1134402761,,,,,,,,,,,,,,,,,,,,
162061475.903583,-0.0791320801,-0.7068939209,-0.6368408203,,,,,,,,,,,,,,,,,,,,,,,,
162061544.721042,,,,,-0.1800629792,-0.1644198373,0.0033766219,,,,,,,,,,,,,,,,,,,,
162061.541850833,,,,,,,,,,,-68.1106109619,-18.3310089111,366.3733520508,,,,,,,,,,,,,,
162061581.165958,-0.1578369141,-0.6865386963,-0.7508544922,,,,,,,,,,,,,,,,,,,,,,,,
162061645.757208,,,,,-0.1133001938,0.0223412584,-0.0678525509,,,,,,,,,,,,,,,,,,,,
162061.642888458,,,,,,,,,,,-67.7742614746,-19.6764068604,365.3923950195,,,,,,,,,,,,,,
162061686.356583,-0.0979156494,-0.7027130127,-0.7578735352,,,,,,,,,,,,,,,,,,,,,,,,
162061746.794583,,,,,-0.1541975597,-0.0160732424,-0.1728109252,,,,,,,,,,,,,,,,,,,,
162061.743927333,,,,,,,,,,,-65.5879974365,-17.8264923096,364.9019470215,,,,,,,,,,,,,,
162061791.598083,-0.1322021484,-0.6595153809,-0.7359771729,,,,,,,,,,,,,,,,,,,,,,,,
162061847.831167,,,,,-0.0837881079,0.1148770515,-0.1554471149,,,,,,,,,,,,,,,,,,,,
162061.844965875,,,,,,,,,,,-68.1106109619,-19.6764068604,365.3923950195,,,,,,,,,,,,,,
162061897.00125,-0.1210937500,-0.6726531982,-0.7314910889,,,,,,,,,,,,,,,,,,,,,,,,
162061948.871667,,,,,0.0797563483,0.0747562634,-0.1174549915,,,,,,,,,,,,,,,,,,,,
162061.946002958,,,,,,,,,,,-66.4288635254,-19.0037078857,364.4114990234,,,,,,,,,,,,,,
162062002.244875,-0.1065826416,-0.6782379150,-0.7423858643,,,,,,,,,,,,,,,,,,,,,,,,
162062049.913083,,,,,-0.0353771656,-0.0754135315,-0.0234592534,,,,,,,,,,,,,,,,,,,,
162062.047157833,,,,,,,,,,,-67.4379119873,-19.3400573730,365.0654296875,,,,,,,,,,,,,,
162062106.679792,-0.1375122070,-0.6895599365,-0.7576904297,,,,,,,,,,,,,,,,,,,,,,,,
162062150.949625,,,,,0.0479097354,0.1378079338,-0.0605016936,,,,,,,,,,,,,,,,,,,,
162062.148196375,,,,,,,,,,,-66.0925140381,-19.0037078857,365.0654296875,,,,,,,,,,,,,,
162062211.392292,-0.1135559082,-0.6777343750,-0.7144012451,,,,,,,,,,,,,,,,,,,,,,,,
162062251.985292,,,,,-0.1349373124,0.1606815581,-0.0664746313,,,,,,,,,,,,,,,,,,,,
162062.24923325,,,,,,,,,,,-66.7652130127,-19.6764068604,364.7384643555,,,,,,,,,,,,,,
162062316.60475,-0.1046600342,-0.6245574951,-0.6261291504,,,,,,,,,,,,,,,,,,,,,,,,
162062353.021375,,,,,-1.5695310590,0.1073040866,0.1903869895,,,,,,,,,,,,,,,,,,,,
162062.350274917,,,,,,,,,,,-66.0925140381,-16.3129119873,364.4114990234,,,,,,,,,,,,,,
