unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
4329511976626,0.21276855,0.14485168,9.498489,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329532118228,0.21276855,0.13623047,9.479111,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329552259829,0.20220947,0.12834167,9.494003,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329572401431,0.18963623,0.12516785,9.537643,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329592543032,0.20007324,0.12741089,9.53685,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329612684634,0.20661926,0.12736511,9.520615,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329632826235,0.18685913,0.12547302,9.538742,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329652967837,0.17292786,0.1289978,9.547073,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329673109439,0.18600464,0.13624573,9.540787,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329693251040,0.22297668,0.13256836,9.54747,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329713392642,0.20143127,0.11088562,9.534943,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329733534243,0.17878723,0.12973022,9.537842,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329753675845,0.18664551,0.13404846,9.522659,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329773817446,0.18525696,0.12628174,9.499191,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329793959048,0.18740845,0.14781189,9.533646,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329793959048,,,,,,,-9.0026855E-4,-2.4414063E-4,-0.0012512207,,,,,,,,,,,,,,,,,,,,,
4329808393862,,,,-0.022012264,0.028716847,0.081297874,,,,,,,,,,,,,,,,,,,,,,,,
4329814100649,0.19102478,0.15568542,9.548019,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329814100649,,,,,,,-9.0026855E-4,-2.4414063E-4,-0.0015563965,,,,,,,,,,,,,,,,,,,,,
4329828138735,,,,-0.013846949,0.0025013685,0.042334557,,,,,,,,,,,,,,,,,,,,,,,,
4329834242251,0.19610596,0.13412476,9.5086975,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329834242251,,,,,,,-5.79834E-4,-5.79834E-4,-0.0019836426,,,,,,,,,,,,,,,,,,,,,
4329847944644,,,,-0.013055757,-0.006494865,-0.0026979446,,,,,,,,,,,,,,,,,,,,,,,,
4329854383853,0.19223022,0.13374329,9.492905,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329854383853,,,,,,,-5.340576E-4,-0.0013122559,-0.0012512207,,,,,,,,,,,,,,,,,,,,,
4329867720034,,,,-0.023625284,0.011917219,0.042105675,,,,,,,,,,,,,,,,,,,,,,,,
4329854383853,,,,,,,,,,,,,11.790466,16.174316,-44.293213,,,,,,,,,,,,,,,
4329874525454,0.18092346,0.14331055,9.536484,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329874525454,,,,,,,,,,,,,11.90033,16.177368,-42.96112,,,,,,,,,,,,,,,
4329874525454,,,,,,,-0.0012359619,-9.460449E-4,-8.69751E-4,,,,,,,,,,,,,,,,,,,,,
4329887495425,,,,-0.031332508,0.0024109334,0.07099438,,,,,,,,,,,,,,,,,,,,,,,,
4329887495425,,,,,,,,,,321.9837,-0.8131744,1.2438424,,,,,,,,,,,,,,,,,,
4329894667056,0.17381287,0.14482117,9.560059,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329894667056,,,,,,,,,,,,,11.682129,16.619873,-42.530823,,,,,,,,,,,,,,,
4329894667056,,,,,,,1.6784668E-4,-6.4086914E-4,2.1362305E-4,,,,,,,,,,,,,,,,,,,,,
4329907301333,,,,-0.031978935,0.02248171,0.07155037,,,,,,,,,,,,,,,,,,,,,,,,
4329907301333,,,,,,,,,,322.04868,-0.8209772,1.232828,,,,,,,,,,,,,,,,,,
4329914808657,0.15603638,0.13951111,9.545029,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329914808657,,,,,,,-2.4414063E-4,-9.1552734E-4,7.6293945E-5,,,,,,,,,,,,,,,,,,,,,
4329914808657,,,,,,,,,,,,,11.808777,16.108704,-43.15338,,,,,,,,,,,,,,,
4329927076724,,,,-0.07102534,-0.025993973,0.022685051,,,,,,,,,,,,,,,,,,,,,,,,
4329927076724,,,,,,,,,,322.1111,-0.8117436,1.2097428,,,,,,,,,,,,,,,,,,
1451515580285,,,,,,,,,,,,,,,,52.4912859,13.3769152,0.0,0.0,0.0,30.0,30.0,,,,,,,,
4329934950259,0.16261292,0.11987305,9.524979,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329946852114,,,,,,,,,,322.08487,-0.81137985,1.212821,,,,,,,,,,,,,,,,,,
4329946852114,,,,0.011728123,0.002597794,0.044160843,,,,,,,,,,,,,,,,,,,,,,,,
